Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,SafetyMargin > 0.07,0.2498,0.6710526315789473,1.0,1.0,1
1,SafetyMargin > 0.07,0.2528,0.6192259675405742,1.0,1.0,-1
2,SafetyMargin > 0.05,0.4978,0.5014697236919459,1.0,1.0,1
3,Tau <= 0.25,0.2467,0.5594405594405595,1.0,1.0,1
4,SafetyMargin > 0.07,0.2497,0.6603396603396603,1.0,1.0,1
5,SafetyMargin > 0.05,0.4993,0.5117085862966175,1.0,1.0,1
6,Eta > 0.76 AND Tau <= 0.51,0.1235,0.6134078212290502,1.0,1.0,1
7,Tau <= 0.25,0.2517,0.5868772782503038,1.0,1.0,1
8,Tau <= 0.25,0.2511,0.5477888730385164,1.0,1.0,1
9,SafetyMargin > 0.07,0.2571,0.6376021798365122,1.0,1.0,1
10,SafetyMargin > 0.07,0.2503,0.6329588014981273,1.0,1.0,1
11,SafetyMargin > 0.07,0.2554,0.6381798002219756,1.0,1.0,1
12,SafetyMargin > 0.05,0.504,0.5204359673024523,1.0,1.0,1
13,Tau <= 0.25,0.2568,0.5415318230852212,1.0,1.0,1
14,SafetyMargin > 0.07,0.2522,0.649546827794562,1.0,1.0,1
15,SafetyMargin > 0.05,0.4984,0.5153029356652092,1.0,1.0,1
16,SafetyMargin > 0.07,0.2417,0.6514983351831298,1.0,1.0,1
